PlotCode,Country,Locality,LandUse,TotalC,TotalN,AvailableP,ExchK,EC,pH
ENFAS1,Kenya,Rumuruti,Fallow,45.52,3.83,5.96,0.96,0.16,4.8
ENFAS4,Kenya,Rumuruti,Fallow,33.22,2.39,4.46,1.24,0.31,6.1
ENFAS8,Kenya,Rumuruti,Fallow,38.85,3.38,3.52,0.7,0.55,5.4
ENGZS3,Kenya,Rumuruti,Grazing,44.4,3.64,36.07,1.09,0.22,5.2
ENGZS6,Kenya,Rumuruti,Grazing,22.85,1.83,16.83,1.27,0.14,6
ENGZS7,Kenya,Rumuruti,Grazing,31.97,2.64,2.15,0.97,0.08,5.4
ENNVP1,Kenya,Rumuruti,Unused,44.41,3.59,8.59,0.77,0.14,5.3
ENNVP3,Kenya,Rumuruti,Unused,47.95,3.99,8.21,0.55,0.18,4.8
ENNVP6,Kenya,Rumuruti,Unused,20,1.46,7.5,0.78,0.42,6.8
LFASN12,Tanzania,Lukozi,Fallow,34.58,2.84,22.83,0.12,1.06,7.4
LFASN5,Tanzania,Lukozi,Fallow,53.755,4.705,31.615,0.445,1.16,6.95
LFASN7,Tanzania,Lukozi,Fallow,47.56,3.9,62.05,0.72,0.22,7.2
LGZSN1,Tanzania,Lukozi,Grazing,46.77,3.88,10.97,0.87,0.82,5.7
LGZSN2,Tanzania,Lukozi,Grazing,56.41,4.58,11.97,0.66,1.96,7.1
LGZSN3,Tanzania,Lukozi,Grazing,51.95,4.33,10.97,0.6,2.43,6.8
LNNVP1,Tanzania,Lukozi,Unused,21.9,1.74,9.08,0.31,1.64,7.1
LNNVP3,Tanzania,Lukozi,Unused,17.53,1.47,8.68,0.19,1.97,6.8
LNNVP4,Tanzania,Lukozi,Unused,23.8,1.76,5.32,0.3,1.61,7.1
MAFAP1,Tanzania,Malinda,Fallow,84.81,6.72,8.17,0.11,1.26,6.4
MAFAP7,Tanzania,Malinda,Fallow,71.46,4.36,16.07,0.41,1.16,7.9
MAFAS25,Tanzania,Malinda,Fallow,40.4,2.85,19.76,0.37,0.3,5.6
MAGZS1,Tanzania,Malinda,Grazing,16.63,1.11,9.27,0.47,1.93,6.8
MAGZS2,Tanzania,Malinda,Grazing,21.29,1.55,28.87,0.28,0.4,6.5
MAGZS3,Tanzania,Malinda,Grazing,27.03,1.33,15.87,0.12,1.35,5.7
MANVP3,Tanzania,Malinda,Unused,39.06,2.56,2.79,0.1,0.23,5.4
MANVS2,Tanzania,Malinda,Unused,58.71,5.6,25.34,0.09,1.01,5.8
MANVS8,Tanzania,Malinda,Unused,110.44,9.28,12.64,0.3,2.76,5
TEFAS1,Kenya,Tegu,Fallow,28.93,2.64,16.87,0.27,0.1,5.3
TEFAS6,Kenya,Tegu,Fallow,33.77,3.27,57.39,0.15,0.08,5.1
TEFAS9,Kenya,Tegu,Fallow,38.3,3.86,42.91,0.12,0.1,5.1
TEGZS1,Kenya,Tegu,Grazing,32.8,3.45,15.47,0.94,0.13,5.9
TEGZS2,Kenya,Tegu,Grazing,26,2.55,25.97,0.15,0.06,5.2
TEGZS3,Kenya,Tegu,Grazing,25.57,2.52,28.57,0.11,0.05,4.7
TENVP3,Kenya,Tegu,Unused,24.32,1.9,10.97,0.07,0.07,4.4
TENVP4,Kenya,Tegu,Unused,30.7,2.97,44.87,0.17,0.09,5
TENVP6,Kenya,Tegu,Unused,37.91,3.31,16.27,0.14,0.09,4.8
